,0
993,Community
994,updates
995,sign
996,up
997,here
998,#
999,Finance
1000,can
1001,be
1002,intimidating
1003,for
1004,the
1005,uninitiated
1006,To
1007,help
1008,you
1009,become
1010,more
1011,comfortable
1012,understanding
1013,financial
1014,topics
1015,here
1016,’
1017,s
1018,a
1019,list
1020,of
1021,the
1022,top
1023,financial
1024,metrics
1025,#
1026,managers
1027,need
1028,to
1029,understand
1030,#
1031,FinanceSkills
1032,TOMORROW
1033,@
1034,HarvardBooks
1035,has
1036,been
1037,kind
1038,enough
1039,to
1040,throw
1041,me
1042,a
1043,virtual
1044,launch
1045,party
1046,for
1047,``
1048,Reimagining
1049,Capitalism
1050,''
1051,I
1052,'d
1053,love
1054,for
1055,you
1056,to
1057,join
1058,–
1059,I
1060,'ve
1061,been
1062,amazed
1063,at
1064,the
1065,response
1066,to
1067,the
1068,book
1069,so
1070,far
1071,The
1072,event
1073,starts
1074,at
1075,7
1076,pm
1077,EST.https
1078,…
1079,The
1080,#
1081,coronavirus
1082,pandemic
1083,caught
1084,the
1085,business
1086,world
1087,by
1088,surprise
1089,but
1090,the
1091,catastrophe
1092,might
1093,force
1094,companies
1095,to
1096,face
1097,a
1098,crisis
1099,that
1100,has
1101,been
1102,unfolding
1103,in
1104,plain
1105,sight
1106,climate
1107,change
1108,via
1109,@
1110,HBSWK
1111,#
1112,ClimateChange
1113,What
1114,can
1115,today
1116,'s
1117,leaders
1118,learn
1119,from
1120,past
1121,examples
1122,of
1123,leading
1124,through
1125,crisis
1126,?
1127,via
1128,@
1129,Medium
1130,Learn
1131,more
1132,by
1133,exploring
1134,this
1135,historic
1136,case
1137,study
1138,on
1139,#
1140,leadership
1141,Check
1142,out
1143,our
1144,Washington
1145,D.C.
1146,Chapter
1147,'s
1148,``
1149,Stories
1150,on
1151,Resilience
1152,''
1153,series
1154,in
1155,the
1156,latest
1157,#
1158,Community
1159,newsletter
1160,For
1161,regular
1162,Community
1163,updates
1164,sign
1165,up
1166,here
1167,#
1168,HBSOnlineCommunity
1169,#
1170,In
1171,today
1172,'s
1173,rapidly
1174,changing
1175,#
1176,economy
1177,there
1178,’
1179,s
1180,a
1181,growing
1182,need
1183,for
1184,professionals
1185,with
1186,the
1187,knowledge
1188,and
1189,skills
1190,to
1191,contribute
1192,to
1193,key
1194,business
1195,discussions
1196,and
1197,drive
1198,strategic
1199,decision-making
1200,Download
1201,this
1202,free
1203,guide
1204,to
1205,develop
1206,important
1207,business
1208,skills
1209,Find
1210,out
1211,how
1212,purpose-driven
1213,companies
1214,can
1215,be
1216,catalysts
1217,for
1218,uncovering
1219,new
1220,ways
1221,of
1222,working
1223,in
1224,HBS
1225,Online
1226,Professor
1227,@
1228,RebeccaReCap
1229,'s
1230,new
1231,book
1232,``
1233,Reimagining
1234,Capitalism
1235,''
1236,via
1237,@
1238,FinancialTimes
1239,#
1240,PurposeDriven
1241,#
1242,Sustainability
1243,Here
1244,'s
1245,an
1246,updated
1247,list
1248,of
